prod_id,prod_name_kor,prod_name_eng,func_txt,desc_txt,price,is_discount,discount,capacity,specification,use_period,use_method,manufacturer,release_date,edit_date,category_id
11,"떼르말 세라마이드 페이스/바디워시 ","thermal ceramide face/body wash","민감성,저자극,시트러스향,딥클렌징,",...,38000,N,0,400,"주요 사항 텍스트",22개월,"사용 방법",유씨엘㈜,"2024-10-11 00:00:00","2024-10-01 00:00:00",11
12,"뗴르말 세라마이드 바디 크림 ","thermal ceramide","민감성,저자극,시트러스향,속보습,",...,48000,N,0,300,"주요 사항 텍스트",23개월,"사용 방법",코스맥스㈜,"2024-10-12 00:00:00","2024-10-01 00:00:00",12
13,"레몬 비타민 바디 겔 크림 ","lemon vitamin","여드름,미백각질,레몬향,피부톤,",...,50000,N,0,500,"주요 사항 텍스트",24개월,"사용 방법",유씨엘㈜,"2024-10-13 00:00:00","2024-10-01 00:00:00",12
14,"레몬 버베나 링클 케어 바디 크림 ","lemon verbena wrinkle care","극건성,속당김,레몬향,이중속보습,",...,50000,N,0,400,"주요 사항 텍스트",25개월,"사용 방법",코스맥스㈜,"2024-10-14 00:00:00","2024-10-01 00:00:00",12
15,"떼르말 세라마이드 핸드 워시 ","thermal ceramide","민감성,저자극,시트러스향,속보습,",...,32000,N,0,300,"주요 사항 텍스트",26개월,"사용 방법",유씨엘㈜,"2024-10-15 00:00:00","2024-10-01 00:00:00",13
16,"스위스 허벌 애플 히알루론 핸드 워시 ","apple hyaluronic hand wash","극건성,속당김,허벌애플향,이중속보습,",...,30000,N,0,500,"주요 사항 텍스트",27개월,"사용 방법",코스맥스㈜,"2024-10-16 00:00:00","2024-10-01 00:00:00",13
17,"뗴르말 세라마이드 베이비 크림 ","thermal ceramide","민감성,저자극,무향,속보습,",...,48000,N,0,400,"주요 사항 텍스트",28개월,"사용 방법",유씨엘㈜,"2024-10-17 00:00:00","2024-10-01 00:00:00",16
18,"떼르말 세라마이드 베이비 올인원 샴푸&바스 ","thermal ceramide baby bath","민감성,저자극,무향,속보습,",...,38000,N,0,300,"주요 사항 텍스트",29개월,"사용 방법",코스맥스㈜,"2024-10-18 00:00:00","2024-10-01 00:00:00",16
19,"레몬그라스 링클 케어 에센스 ","lemongrass wrinkle care","극건성,주름미백,레몬향,생기보습,",...,50000,N,0,500,"주요 사항 텍스트",30개월,"사용 방법",유씨엘㈜,"2024-10-19 00:00:00","2024-10-01 00:00:00",14
20,"프렌치 레몬 비타민 에너지 토너 ","french lemon vitamin energy toner","여드름,미백탄력,레몬향,유수분밸런싱,",...,40000,N,0,400,"주요 사항 텍스트",31개월,"사용 방법",코스맥스㈜,"2024-10-20 00:00:00","2024-10-01 00:00:00",14
21,"뗴르말 세라마이드 토너 ","thermal ceramide toner","민감성,저자극,무향,속보습,",...,42000,N,0,300,"주요 사항 텍스트",32개월,"사용 방법",유씨엘㈜,"2024-10-21 00:00:00","2024-10-01 00:00:00",14
22,"뗴르말 세라마이드 크림 ","thermal ceramide","민감성,저자극,무향,속보습,",...,45000,N,0,500,"주요 사항 텍스트",33개월,"사용 방법",코스맥스㈜,"2024-10-22 00:00:00","2024-10-01 00:00:00",15
23,"레몬 비타민 에너지 크림 ","lemon vitamin energy","여드름,미백탄력,레몬향,유수분밸런싱,",...,45000,N,0,400,"주요 사항 텍스트",34개월,"사용 방법",유씨엘㈜,"2024-10-23 00:00:00","2024-10-01 00:00:00",15
24,"레몬그라스 링클 케어 크림 ","lemongrass wrinkle care","극건성,주름미백,레몬향,생기보습,",...,52000,N,0,300,"주요 사항 텍스트",35개월,"사용 방법",코스맥스㈜,"2024-10-24 00:00:00","2024-10-01 00:00:00",15
25,"프레쉬 브라이트리 치약","fresh brightree toothpaste","충치잇몸,구취충치,레몬향,올인원케어,",...,15000,N,0,500,"주요 사항 텍스트",36개월,"사용 방법",유씨엘㈜,"2024-10-25 00:00:00","2024-10-01 00:00:00",17
26,"허브 샴푸 기프트 세트","HERB SHAMPOO GIFT SET","로즈마리 샴푸 + 로즈마리 샴푸",,84000,N,0,500/500,"주요 사항 텍스트",12개월,"사용 방법",유씨엘㈜,"2024-12-16 00:00:00","2024-12-16 00:00:00",19
27,"허브 바디 기프트 세트","HERB BODY GIFT SET","레몬 버베나 바디워시 + 바디크림",,66000,N,0,500/450,"주요 사항 텍스트",12개월,"사용 방법",코스맥스㈜,"2024-12-16 00:00:00","2024-12-16 00:00:00",20
28,"허브 워시 기프트 세트","HERB SHAMPOO & WASH GIFT SET","로즈마리 샴푸 + 레몬 버베나 워시",,80000,N,0,500/500,"주요 사항 텍스트",12개월,"사용 방법",유씨엘㈜/코스맥스㈜,"2024-12-16 00:00:00","2024-12-16 00:00:00",21
29,"허브 스킨 기프트 세트","HERB SKIN GIFT SET","레몬그라스 에센스 + 크림",,102000,N,0,300/300,"주요 사항 텍스트",12개월,"사용 방법",코스맥스㈜,"2024-12-16 00:00:00","2024-12-16 00:00:00",22
30,"떼르말 베이비 기프트 세트","THERMAL BABY GIFT SET","떼르말 베이비 바스 + 크림",,86000,N,0,450/300,"주요 사항 텍스트",12개월,"사용 방법",코스맥스㈜,"2024-12-16 00:00:00","2024-12-16 00:00:00",23
